ID,Name,Latitude,Longitude,Address,Link,IMAX With Laser,Stadium Seating,Handicap Accessible,Assistive Listening Devices Available,Reserved Seating,Ticketing Kiosk,Cafe
2632,Landmark Cinemas 16 Country Hills & IMAX,51.155680000000,-114.067800000000,"300-388 Country Hills Boulevard NE, Calgary, AB, Canada T3K 5A6",https://imax.com/theatres/landmark-cinemas-16-country-hills-imax,false,true,true,true,true,false,false
2633,Scotiabank Chinook & IMAX,50.995520000000,-114.074200000000,"6455 MacLeod Trail SW, Calgary, AB T2H 0K4",https://imax.com/theatres/scotiabank-chinook-imax,false,true,false,false,true,false,false
2634,Scotiabank Edmonton & IMAX,53.522790000000,-113.628900000000,"170th Street & Whitemud Drive, Edmonton, AB T5T 4M2",https://imax.com/theatres/scotiabank-edmonton-imax,false,true,true,false,true,false,false
2635,TELUS World of Science – Edmonton IMAX Theatre,53.561020000000,-113.564200000000,"11211 142nd Street NW, Edmonton, AB T5M 4A1",https://imax.com/theatres/telus-world-science-%E2%80%93-edmonton-imax-theatre,true,true,false,false,false,false,false
2636,Regal Goldstream & IMAX,64.836590000000,-147.758000000000,"1855 Airport Way, Fairbanks, AK 99701",https://imax.com/theatres/regal-goldstream-imax,false,true,true,true,false,true,false
2637,Regal Tikahtnu & IMAX,61.212360000000,-149.733500000000,"1102 North Muldoon Road - Suite B, Anchorage, AK 99504",https://imax.com/theatres/regal-tikahtnu-imax,false,true,true,true,true,true,false
2638,AMC Festival Plaza 16 & IMAX,32.338840000000,-86.177910000000,"7925 Vaughn Road, Montgomery, AL 36116",https://imax.com/theatres/amc-festival-plaza-16,false,false,false,false,false,false,false
2639,AMC Patton Creek 15 & IMAX,33.373370000000,-86.815530000000,"4450 Creekside Avenue, Hoover, AL 35244",https://imax.com/theatres/amc-patton-creek-15-imax,false,true,false,false,false,false,false
2640,AMC Valley Bend 18 & IMAX,34.672140000000,-86.545320000000,"1485 Four Mile Road Post South East, Huntsville, AL 35802",https://imax.com/theatres/amc-valley-bend-18-imax,false,true,false,false,false,false,false
2641,Cobb Hollywood 16 & IMAX,33.168510000000,-87.546730000000,"4250 Old Greensboro Road, Tuscaloosa, AL 35405",https://imax.com/theatres/cobb-hollywood-16-imax,false,true,true,true,true,true,true
2643,"IMAX Dome, McWane Center",33.514750000000,-86.807920000000,"200 Nineteenth Street North, Birmingham, AL 35203",https://imax.com/theatres/imax-dome-mcwane-center,false,true,false,false,false,false,false
2644,AMC Chenal 9 & IMAX,34.778200000000,-92.463780000000,"17825 Chenal Parkway, Little Rock, AR 72211",https://imax.com/theatres/amc-chenal-9-imax,false,true,false,false,true,false,false
2647,Hollywood Megaplex St. Polten & IMAX,48.216820000000,15.651780000000,"Engelbert Laimer Strasse 1, St. Pölten, Austria 3100",https://imax.com/theatres/hollywood-megaplex-st-polten-imax,false,true,false,false,false,false,false
2648,Hollywood Megaplex Plus City & IMAX,48.244810000000,14.235320000000,"Pluskaufstrasse 12, Pasching, Austria 4061",https://imax.com/theatres/hollywood-megaplex-plus-city-imax,false,true,false,false,false,false,false
2649,CineplexX Graz & IMAX,47.030940000000,15.430480000000,"Alte Poststrasse 470, Graz, Austria 8055",https://imax.com/theatres/cineplexx-graz-imax,true,true,false,false,false,false,false
2650,Cineplexx Salzburg City & IMAX,47.816560000000,13.044840000000,"4 Fanny-von-Lehner-Strasse, Salzburg, Austria 5020",https://imax.com/theatres/cineplexx-salzburg-city-imax,false,true,false,false,false,false,false
2651,Cineplexx Hohenems IMAX,47.372780000000,9.677240000000,"Lustenauerstrasse 112, Hohenems, Austria 6845",https://imax.com/theatres/cineplexx-hohenems-imax,false,true,false,false,false,false,false
2652,CineplexX Apollo Vienna & IMAX,48.197210000000,16.353630000000,"Gumpendorferstrasse 63, Wien, Austria 1060",https://imax.com/theatres/cineplexx-apollo-vienna-imax,true,true,false,false,false,false,false
